stimulus1,stimulus2,word1,word2,emotion1,emotion2,speaker1,speaker2,speaker1_ID,speaker2_ID,condition,participantID,gender
s921_w15_n.wav,s920_w14_s.wav,15,14,n,s,otherA,otherB,921,920,diffOther,1,female
s901_w10_s.wav,s920_w17_n.wav,10,17,s,n,self,otherB,901,920,diffSelf,1,female
s901_w12_n.wav,s920_w09_n.wav,12,09,n,n,self,otherB,901,920,diffSelf,1,female
s901_w02_h.wav,s920_w10_n.wav,02,10,h,n,self,otherB,901,920,diffSelf,1,female
s920_w06_h.wav,s921_w11_n.wav,06,11,h,n,otherB,otherA,920,921,diffOther,1,female
s901_w13_n.wav,s901_w07_s.wav,13,07,n,s,self,self,901,901,sameSelf,1,female
s920_w15_n.wav,s920_w11_n.wav,15,11,n,n,otherB,otherB,920,920,sameOther,1,female
s901_w18_n.wav,s901_w04_n.wav,18,04,n,n,self,self,901,901,sameSelf,1,female
s901_w02_h.wav,s901_w18_n.wav,02,18,h,n,self,self,901,901,sameSelf,1,female
s901_w17_n.wav,s901_w04_s.wav,17,04,n,s,self,self,901,901,sameSelf,1,female
s920_w18_n.wav,s921_w19_n.wav,18,19,n,n,otherB,otherA,920,921,diffOther,1,female
s921_w16_h.wav,s920_w02_n.wav,16,02,h,n,otherA,otherB,921,920,diffOther,1,female
s921_w16_n.wav,s921_w20_n.wav,16,20,n,n,otherA,otherA,921,921,sameOther,1,female
s920_w04_h.wav,s920_w12_n.wav,04,12,h,n,otherB,otherB,920,920,sameOther,1,female
s920_w01_n.wav,s901_w03_h.wav,01,03,n,h,otherB,self,920,901,diffSelf,1,female
s921_w13_n.wav,s921_w18_s.wav,13,18,n,s,otherA,otherA,921,921,sameOther,1,female
s901_w04_n.wav,s901_w07_h.wav,04,07,n,h,self,self,901,901,sameSelf,1,female
s921_w20_h.wav,s921_w14_n.wav,20,14,h,n,otherA,otherA,921,921,sameOther,1,female
s901_w10_n.wav,s920_w15_n.wav,10,15,n,n,self,otherB,901,920,diffSelf,1,female
s920_w03_n.wav,s921_w04_n.wav,03,04,n,n,otherB,otherA,920,921,diffOther,1,female
s920_w14_n.wav,s901_w13_s.wav,14,13,n,s,otherB,self,920,901,diffSelf,1,female
s901_w15_s.wav,s901_w02_n.wav,15,02,s,n,self,self,901,901,sameSelf,1,female
s901_w01_n.wav,s901_w09_h.wav,01,09,n,h,self,self,901,901,sameSelf,1,female
s901_w19_s.wav,s921_w12_n.wav,19,12,s,n,self,otherA,901,921,diffSelf,1,female
s921_w14_n.wav,s901_w01_n.wav,14,01,n,n,otherA,self,921,901,diffSelf,1,female
s921_w05_n.wav,s920_w03_s.wav,05,03,n,s,otherA,otherB,921,920,diffOther,1,female
s920_w05_n.wav,s921_w13_n.wav,05,13,n,n,otherB,otherA,920,921,diffOther,1,female
s921_w04_n.wav,s920_w07_h.wav,04,07,n,h,otherA,otherB,921,920,diffOther,1,female
s901_w02_s.wav,s920_w15_n.wav,02,15,s,n,self,otherB,901,920,diffSelf,1,female
s921_w02_s.wav,s921_w18_n.wav,02,18,s,n,otherA,otherA,921,921,sameOther,1,female
s901_w19_n.wav,s901_w01_h.wav,19,01,n,h,self,self,901,901,sameSelf,1,female
s921_w06_n.wav,s921_w07_h.wav,06,07,n,h,otherA,otherA,921,921,sameOther,1,female
s921_w14_n.wav,s921_w12_h.wav,14,12,n,h,otherA,otherA,921,921,sameOther,1,female
s921_w02_n.wav,s920_w01_n.wav,02,01,n,n,otherA,otherB,921,920,diffOther,1,female
s901_w12_s.wav,s901_w08_n.wav,12,08,s,n,self,self,901,901,sameSelf,1,female
s901_w11_s.wav,s921_w06_n.wav,11,06,s,n,self,otherA,901,921,diffSelf,1,female
s901_w11_n.wav,s901_w16_n.wav,11,16,n,n,self,self,901,901,sameSelf,1,female
s920_w04_n.wav,s920_w01_n.wav,04,01,n,n,otherB,otherB,920,920,sameOther,1,female
s921_w10_n.wav,s921_w02_s.wav,10,02,n,s,otherA,otherA,921,921,sameOther,1,female
s921_w14_n.wav,s920_w06_n.wav,14,06,n,n,otherA,otherB,921,920,diffOther,1,female
s920_w20_s.wav,s920_w03_n.wav,20,03,s,n,otherB,otherB,920,920,sameOther,1,female
s901_w20_s.wav,s901_w14_n.wav,20,14,s,n,self,self,901,901,sameSelf,1,female
s921_w20_s.wav,s920_w16_n.wav,20,16,s,n,otherA,otherB,921,920,diffOther,1,female
s921_w04_n.wav,s901_w08_h.wav,04,08,n,h,otherA,self,921,901,diffSelf,1,female
s920_w08_n.wav,s920_w14_s.wav,08,14,n,s,otherB,otherB,920,920,sameOther,1,female
s921_w15_n.wav,s920_w20_n.wav,15,20,n,n,otherA,otherB,921,920,diffOther,1,female
